Gene	Chr_Pos	UniProtID	Descriptor	EC
AGBL4	1p33	Q5VU57	Cytosolic carboxypeptidase 6 (ATP/GTP-binding protein-like 4) (Protein deglutamylase CCP6) [CCP6]	EC 3.4.17.24
AGL	1p21	P35573	debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (Dextrin 6-alpha-D-glucosidase)] [GDE]	EC 3.2.1.33
AGMAT	1p36.13	Q9BSE5	acid hydrolase, mitochondrial precursor (Arginase, mitochondrial) (Guanidinobutyrase, mitochondrial) (Guanidinopropionase, mitochondrial) [GDAH]	EC 3.5.3.17
AK2	1p34	P54819	kinase 2, mitochondrial (AK 2) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Contains: Adenylate kinase 2, mitochondrial, N-terminally processed] [ADK2]	EC 2.7.4.3
AK4	1p31.3	P27144	kinase 4, mitochondrial (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4) [AK3] [AK3L1]	EC 2.7.4.6
AK5	1p31	Q9Y6K8	kinase isoenzyme 5 (AK 5) (ATP-AMP transphosphorylase 5)	EC 2.7.4.6
AKR1A1	1p32-p33	P14550	Aldo-keto reductase family 1 member A1 (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (Glucuronolactone reductase) (S-nitroso-CoA reductase) (ScorR) [ALDR1] [ALR]	EC 1.1.1.20
AKT3	1q43-q44	Q9Y243	serine/threonine-protein kinase (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2) [PKBG]	EC 2.7.11.1
ALDH4A1	1p36	P30038	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial precursor (P5C dehydrogenase) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase) [ALDH4] [P5CDH]	EC 1.2.1.88
ALDH9A1	1q23.1	P49189	4-trimethylaminobutyraldehyde dehydrogenase (TMABA-DH) (TMABALDH) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (Formaldehyde dehydrogenase) (Gamma-aminobutyraldehyde dehydrogenase) (R-aminobutyraldehyde dehydrogenase) [Contains: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed] [ALDH4] [ALDH7] [ALDH9]	EC 1.2.1.19
ALG6	1p31.3	Q9Y672	pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase) [My046]	EC 2.4.1.267
ALPL	1p34-p36.1	P05186	phosphatase, tissue-nonspecific isozyme precursor (AP-TNAP) (TNS-ALP) (TNSALP) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase)	EC 3.9.1.1
AMPD1	1p13	P23109	AMP deaminase 1 (AMP deaminase isoform M) (Myoadenylate deaminase)	EC 3.5.4.6
AMPD2	1p13.3	Q01433	AMP deaminase 2 (AMP deaminase isoform L)	EC 3.5.4.6
AMY1A	1p21	P0DUB6	Alpha-amylase 1A precursor (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase) [AMY1]	EC 3.2.1.1
AMY1B	1p21	P0DTE7	Alpha-amylase 1B precursor [AMY1]	EC 3.2.1.1
AMY1C	1p21	P0DTE8	Alpha-amylase 1C precursor [AMY1]	EC 3.2.1.1
AMY2A	1p21	P04746	alpha-amylase precursor (PA) (1,4-alpha-D-glucan glucanohydrolase)	EC 3.2.1.1
AMY2B	1p21	P19961	Alpha-amylase 2B precursor (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)	EC 3.2.1.1
ARF1	1q42	P84077	factor 1	EC 3.6.5.2
ASH1L	1q22	Q9NR48	Histone-lysine N-methyltransferase ASH1L (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H) [KIAA1420] [KMT2H]	EC 2.1.1.367
ATP1A1	1p13	P05023	Sodium/potassium-transporting ATPase subunit alpha-1 precursor (Na(+)/K(+) ATPase alpha-1 subunit) (Sodium pump subunit alpha-1)	EC 7.2.2.13
ATP1A2	1q21-q23	P50993	Sodium/potassium-transporting ATPase subunit alpha-2 precursor (Na(+)/K(+) ATPase alpha-2 subunit) (Sodium pump subunit alpha-2) [KIAA0778]	EC 7.2.2.13
ATP1A4	1q21-q23	Q13733	Sodium/potassium-transporting ATPase subunit alpha-4 (Na(+)/K(+) ATPase alpha-4 subunit) (Sodium pump subunit alpha-4) [ATP1AL2]	EC 7.2.2.13
ATP2B4	1q32.1	P23634	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4) [ATP2B2] [MXRA1]	EC 7.2.2.10
ATP8B2	1q21.2	P98198	Phospholipid-transporting ATPase ID (ATPase class I type 8B member 2) (P4-ATPase flippase complex alpha subunit ATP8B2) [ATPID] [KIAA1137]	EC 7.6.2.1
B3GALNT2	1q42.3	Q8NCR0	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (Beta-1,3-N-acetylgalactosaminyltransferase II)	EC 2.4.1.313
B3GALT2	1q31.2	O43825	Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2)	EC 2.4.1.86
B3GALT6	1p36.33	Q96L58	Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)	EC 2.4.1.134
B4GALT2	1p33-p34	O60909	Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (Lactose synthase A protein) (N-acetyllactosamine synthase) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2)	EC 2.4.1.90
B4GALT3	1q23	O60512	Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (N-acetyllactosamine synthase) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3)	EC 2.4.1.275
BPNT1	1q41	O95861	3'(2'),5'-bisphosphate nucleotidase 1 (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (Bisphosphate 3'-nucleotidase 1) (BPntase 1) (HsPIP) (Inositol-polyphosphate 1-phosphatase)	EC 3.1.3.57
CA14	1q21	Q9ULX7	Carbonic anhydrase 14 precursor (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV) [UNQ690/PRO1335]	EC 4.2.1.1
CA6	1p36.2	P23280	anhydrase 6 precursor (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	EC 4.2.1.1
CAMK1G	1q32-q41	Q96NX5	Calcium/calmodulin-dependent protein kinase type 1G (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III) [CLICK3] [VWS1]	EC 2.7.11.17
CAPN2	1q41-q42	P17655	catalytic subunit precursor (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain) [CANPL2]	EC 3.4.22.53
CAPN8	1q41	A6NHC0	(New calpain 2) (nCL-2) (Stomach-specific M-type calpain) [NCL2]	EC 3.4.22.53
CASP9	1p36.1-p36.3	P55211	Caspase-9 precursor (CASP-9) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Contains: Caspase-9 subunit p35; Caspase-9 subunit p10] [MCH6]	EC 3.4.22.62
CDA	1p35-p36.2	P32320	deaminase (Cytidine aminohydrolase) [CDD]	EC 3.5.4.5
CDC14A	1p21	Q9UNH5	Dual specificity protein phosphatase CDC14A (CDC14 cell division cycle 14 homolog A)	EC 3.1.3.48
CDC42	1p36.1	P60953	Cell division control protein 42 homolog precursor (G25K GTP-binding protein)	EC 3.6.5.2
CDC42BPA	1q42.11	Q5VT25	Serine/threonine-protein kinase MRCK alpha (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha) [KIAA0451]	EC 2.7.11.1
CDC7	1p22	O00311	division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) [CDC7L1]	EC 2.7.11.1
CDK11A	1p36.3	Q9UQ88	Cyclin-dependent kinase 11A (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2) [CDC2L2] [CDC2L3] [PITSLREB]	EC 2.7.11.22
CDK11B	1p36.3	P21127	Cyclin-dependent kinase 11B (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1) [CDC2L1] [CDK11] [PITSLREA] [PK58]	EC 2.7.11.22
CDK18	1q31-q32	Q07002	Cyclin-dependent kinase 18 (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3) [PCTAIRE3] [PCTK3]	EC 2.7.11.22
CELA2A	1p36.21	P08217	Chymotrypsin-like elastase family member 2A precursor (Elastase-2A) [ELA2A]	EC 3.4.21.71
CELA2B	1p36	P08218	Chymotrypsin-like elastase family member 2B precursor (Elastase-2B) [ELA2B]	EC 3.4.21.71
CELA3A	1	P09093	Chymotrypsin-like elastase family member 3A precursor (Elastase IIIA) (Elastase-3A) (Protease E) [ELA3] [ELA3A]	EC 3.4.21.70
CELA3B	1p36.12	P08861	Chymotrypsin-like elastase family member 3B precursor (Elastase IIIB) (Elastase-3B) (Protease E) [ELA3B]	EC 3.4.21.70
CEPT1	1p13.3	Q9Y6K0	Choline/ethanolaminephosphotransferase 1 (hCEPT1) (1-alkenyl-2-acylglycerol choline phosphotransferase) [PRO1101]	EC 2.7.8.22
CERS2	1q21.3	Q96G23	Ceramide synthase 2 (CerS2) (LAG1 longevity assurance homolog 2) (SP260) (Sphingosine N-acyltransferase CERS2) (Tumor metastasis-suppressor gene 1 protein) (Very-long-chain ceramide synthase CERS2) [LASS2] [TMSG1]	EC 2.3.1.297
CHD5	1p36.31	Q8TDI0	protein 5 (CHD-5) (ATP-dependent helicase CHD5) [KIAA0444]	EC 3.6.4.12
CHIA	1p13.2	Q9BZP6	mammalian chitinase precursor (AMCase) (Lung-specific protein TSA1902)	EC 3.2.1.14
CHIT1	1q32.1	Q13231	Chitotriosidase-1 precursor (Chitinase-1)	EC 3.2.1.14
CLK2	1q21	P49760	specificity protein kinase CLK2 (CDC-like kinase 2)	EC 2.7.12.1
CMPK1	1p32-p34.1	P30085	kinase (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK) [CMK] [CMPK] [UCK] [UMK] [UMPK]	EC 2.7.4.6
COLGALT2	1q25	Q8IYK4	Procollagen galactosyltransferase 2 precursor (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2) [C1orf17] [GLT25D2] [KIAA0584]	EC 2.4.1.50
COP1	1q25.1-q25.2	Q8NHY2	ubiquitin-protein ligase COP1 (Constitutive photomorphogenesis protein 1 homolog) (hCOP1) (RING finger and WD repeat domain protein 2) (RING finger protein 200) (RING-type E3 ubiquitin transferase RFWD2) [RFWD2] [RNF200]	EC 2.3.2.27
CPT2	1p11-p13	P23786	O-palmitoyltransferase 2, mitochondrial precursor (Carnitine palmitoyltransferase II) (CPT II) [CPT1]	EC 2.3.1.21
CRYZ	1p22-p31	Q08257	oxidoreductase (NADPH:quinone reductase) (Zeta-crystallin)	EC 1.6.5.5
CTH	1p31.1	P32929	gamma-lyase (CGL) (CSE) (Cysteine desulfhydrase) (Cysteine-protein sulfhydrase) (Gamma-cystathionase) (Homocysteine desulfhydrase)	EC 4.4.1.2
CTPS1	1p34.1	P17812	CTP synthase 1 (CTP synthetase 1) (UTP--ammonia ligase 1) [CTPS]	EC 6.3.4.2
CTRC	1p36.11-p36.23	Q99895	precursor (Caldecrin) [CLCR]	EC 3.4.21.2
CTSE	1q31	P14091	E precursor [Contains: Cathepsin E form I; Cathepsin E form II]	EC 3.4.23.34
CTSK	1q21	P43235	K precursor (Cathepsin O) (Cathepsin O2) (Cathepsin X) [CTSO] [CTSO2]	EC 3.4.22.38
CTSS	1q21	P25774	S precursor	EC 3.4.22.27
CYB561D1	1p13.2	Q8N8Q1	reductase CYB561D1 (Cytochrome b561 domain-containing protein 1)	EC 7.2.1.3
CYB5R1	1p36.13-q41	Q9UHQ9	NADH-cytochrome b5 reductase 1 (b5R.1) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2) [NQO3A2] [UNQ3049/PRO9865]	EC 1.6.2.2
CYB5RL	1p32.3	Q6IPT4	reductase-like	EC 1.6.2.2
CYP2J2	1p31.2-p31.3	P51589	Cytochrome P450 2J2 (Albendazole monooxygenase (hydroxylating)) (Albendazole monooxygenase (sulfoxide-forming)) (Arachidonic acid epoxygenase) (CYPIIJ2) (Hydroperoxy icosatetraenoate isomerase)	EC 5.4.4.7
CYP4A11	1p32.3	Q02928	Cytochrome P450 4A11 precursor (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (CYP4AII) (CYPIVA11) (Cytochrome P-450HK-omega) (Cytochrome P450HL-omega) (Fatty acid omega-hydroxylase) (Lauric acid omega-hydroxylase) (Long-chain fatty acid omega-monooxygenase) [CYP4A2]	EC 1.14.14.80
CYP4A22	1p33	Q5TCH4	Cytochrome P450 4A22 precursor (CYPIVA22) (Fatty acid omega-hydroxylase) (Lauric acid omega-hydroxylase) (Long-chain fatty acid omega-monooxygenase)	EC 1.14.14.80
CYP4B1	1p12-p34	P13584	Cytochrome P450 4B1 (CYPIVB1) (Cytochrome P450-HP)	EC 1.14.14.1
CYP4Z1	1p33	Q86W10	Cytochrome P450 4Z1 (CYPIVZ1) (Laurate 7-monooxygenase) [UNQ3060/PRO9882]	EC 1.14.14.130
DARS2	1q25.1	Q6PI48	ligase, mitochondrial precursor (Aspartyl-tRNA synthetase) (AspRS)	EC 6.1.1.12
DBT	1p31	P11182	acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial precursor (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (BCKDH-E2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase) [BCATE2] [BCKDHE2]	EC 2.3.1.168
DCLRE1B	1p31.1	Q9H816	5' exonuclease Apollo (Beta-lactamase DCLRE1B) (DNA cross-link repair 1B protein) (SNM1 homolog B) (SNMIB) (hSNM1B) [SNM1B]	EC 3.5.2.6
DCST1	1q22	Q5T197	E3 ubiquitin-protein ligase DCST1 (DC-STAMP domain-containing protein 1) (RING-type E3 ubiquitin transferase)	EC 2.3.2.27
DDAH1	1p22	O94760	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (DDAHI) (Dimethylargininase-1) [DDAH]	EC 3.5.3.18
DDR2	1q12-q23	Q16832	domain-containing receptor 2 precursor (Discoidin domain receptor 2) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD167b antigen) [NTRKR3] [TKT] [TYRO10]	EC 2.7.10.1
DDX20	1p13.2-p21.1	Q9UHI6	Probable ATP-dependent RNA helicase DDX20 (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3) [DP103] [GEMIN3]	EC 3.6.4.13
DDX59	1q32.1	Q5T1V6	Probable ATP-dependent RNA helicase DDX59 (DEAD box protein 59) (Zinc finger HIT domain-containing protein 5) [ZNHIT5]	EC 3.6.4.13
DEGS1	1q42.11	O15121	Sphingolipid delta(4)-desaturase DES1 (Cell migration-inducing gene 15 protein) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Membrane lipid desaturase) (Retinol isomerase) [DES1] [MLD] [MIG15]	EC 1.14.19.17
DESI2	1q44	Q9BSY9	Deubiquitinase DESI2 (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Palmitoyl protein thioesterase DESI2) (Protein FAM152A) (S-depalmitoylase DESI2) [C1orf121] [FAM152A] [PPPDE1] [CGI-146] [PNAS-4]	EC 3.1.2.22
DHCR24	1p31.1-p33	Q15392	Delta(24)-sterol reductase precursor (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1) [KIAA0018]	EC 1.3.1.72
DHDDS	1p35.3	Q86SQ9	Dehydrodolichyl diphosphate synthase complex subunit DHDDS (Cis-isoprenyltransferase) (CIT) (Cis-IPTase) (Cis-prenyltransferase subunit hCIT) (Epididymis tissue protein Li 189m) [HDS]	EC 2.5.1.87
DHRS3	1p36.1	O75911	Short-chain dehydrogenase/reductase 3 (DD83.1) (Retinal short-chain dehydrogenase/reductase 1) (retSDR1) (Retinol dehydrogenase 17) (Short chain dehydrogenase/reductase family 16C member 1) [RDH17] [SDR16C1] [UNQ2424/PRO4983]	EC 1.1.1.300
DHX9	1q25	Q08211	RNA helicase A (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) [DDX9] [LKP] [NDH2]	EC 3.6.4.13
DIO1	1p32-p33	P49895	I iodothyronine deiodinase (5DI) (DIOI) (Type 1 DI) (Type-I 5'-deiodinase) [ITDI1] [TXDI1]	EC 1.21.99.4
DNASE2B	1p22.3	Q8WZ79	Deoxyribonuclease-2-beta precursor (DNase II-like acid DNase) (DNase2-like acid DNase) (Deoxyribonuclease II beta) (DNase II beta) (Endonuclease DLAD) [DLAD]	EC 3.1.22.1
DNM3	1q24.1	Q9UQ16	(Dynamin, testicular) (T-dynamin) [KIAA0820]	EC 3.6.5.5
DPH5	1p21.2	Q9H2P9	methyl ester synthase (Diphthamide biosynthesis methyltransferase) [AD-018] [CGI-30] [HSPC143] [NPD015]	EC 2.1.1.314
DPYD	1p22	Q12882	dehydrogenase [NADP(+)] precursor (DHPDHase) (DPD) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	EC 1.3.1.2
DSTYK	1q32.1	Q6XUX3	Dual serine/threonine and tyrosine protein kinase (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496) [KIAA0472] [RIP5] [RIPK5] [SGK496] [HDCMD38P]	EC 2.7.12.1
DUSP10	1q41	Q9Y6W6	Dual specificity protein phosphatase 10 (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5) [MKP5]	EC 3.1.3.48
DUSP12	1q21-q22	Q9UNI6	Dual specificity protein phosphatase 12 (Dual specificity tyrosine phosphatase YVH1)	EC 3.1.3.48
DUSP23	1q23.2	Q9BVJ7	Dual specificity protein phosphatase 23 (Low molecular mass dual specificity phosphatase 3) (LDP-3) (VH1-like phosphatase Z) [LDP3] [VHZ]	EC 3.1.3.48
DYRK3	1q32	O43781	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (Regulatory erythroid kinase) (REDK)	EC 2.7.12.1
ECE1	1p36.1	P42892	enzyme 1 (ECE-1)	EC 3.4.24.71
EDEM3	1q25	Q9BZQ6	ER degradation-enhancing alpha-mannosidase-like protein 3 precursor (Alpha-1,2-mannosidase EDEM3) [C1orf22]	EC 3.2.1.113
EGLN1	1q42.1	Q9GZT9	Egl nine homolog 1 (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20) [C1orf12] [PNAS-118] [PNAS-137]	EC 1.14.11.29
ELOVL1	1p34.2	Q9BW60	Very long chain fatty acid elongase 1 (3-keto acyl-CoA synthase ELOVL1) (ELOVL fatty acid elongase 1) (ELOVL FA elongase 1) (Elongation of very long chain fatty acids protein 1) (Very long chain 3-ketoacyl-CoA synthase 1) (Very long chain 3-oxoacyl-CoA synthase 1) [SSC1] [CGI-88]	EC 2.3.1.199
ENO1	1p36.2-p36.3	P06733	(2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein) [ENO1L1] [MBPB1] [MPB1]	EC 4.2.1.11
EPHA10	1p34.3	Q5JZY3	Ephrin type-A receptor 10 precursor	EC 2.7.10.1
EPHA2	1p36	P29317	Ephrin type-A receptor 2 precursor (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK) [ECK]	EC 2.7.10.1
EPHA8	1p35.2-p36.13	P29322	Ephrin type-A receptor 8 precursor (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK) [EEK] [HEK3] [KIAA1459]	EC 2.7.10.1
EPHB2	1p35-p36.1	P29323	Ephrin type-B receptor 2 precursor (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Contains: EphB2/CTF1; EphB2/CTF2] [DRT] [EPHT3] [EPTH3] [ERK] [HEK5] [TYRO5]	EC 2.7.10.1
EPHX1	1q42.1	P07099	hydrolase 1 (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH) [EPHX] [EPOX]	EC 3.3.2.9
EPRS1	1q41-q42	P07814	glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (Prolyl-tRNA synthetase)] [EPRS] [GLNS] [PARS] [QARS] [QPRS] [PIG32]	EC 6.1.1.15
ERVK-18	1q23.3	P63123	group K member 18 Pro protein (HERV-K(C1a) Pro protein) (HERV-K110 Pro protein) (HERV-K18 Pro protein) (HERV-K_1q23.3 provirus ancestral Pro protein) (Protease) (Proteinase) (PR)	EC 3.4.23.50
